brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
MIZUNO,Tênis Mizuno Space 4 Corrida Marinho E Azul - Masculino,299,99,29,08,,
,Tênis Masculino Ecotênis Extra Leve Academia Corrida Treino,68,90,22,97,,
OLYMPIKUS,Tênis Olympikus Masculino Corrida Color Br Adulto Academia,699,99,70,,,
FILA,Fila Recovery Masculino Adultos,259,90,32,49,4.7,(1577)
,Tênis Masculino Conforto Ecotênis Caminhada Trabalho Corrida,60,90,5,92,,
,Tênis Ecotênis Masculino Corrida Treino Sola Antiderrapante,59,90,5,82,,
OLYMPIKUS,Olympikus Casual Jogging 100 Sem gênero Adultos OBTN068_1-012,229,99,172,49,4.7,(3668)
DM DAMANDO,Kit Tenis Confortavel Masculino P/academia Corrida + Relógio,78,90,74,95,4.6,(423)
OLYMPIKUS,Tenis Olympikus Masculino Soma,219,34,188,39,4.8,(44)
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,146,19,14,,4.8,(2045)
,Tênis Cross Tryd 5400 Academia Caminhada Confortável Leve,99,99,68,99,4.5,(1903)
OLYMPIKUS,Tênis Olympikus Conex 43553352 Preto,220,43,31,,,
PROSPECT,Tênis Masculino Prospect Taos Caminhada Academia Corrida,69,90,29,35,4.6,(5)
,Tenis Masculino Academia Corrida Caminhada Leve Barato,69,90,49,40,4.6,(1025)
OLYMPIKUS,Tênis Masculino Adulto Academia Esporte Caminhada Olympikus,224,99,175,49,4.5,(10)
FILA,Tênis Fila Presence Corrida Caminhada Resistente - Masculino,299,99,29,08,,
,Tênis Academia Masculino Corrida Caminhada Esporte Dia A Dia,69,99,59,49,,
OLYMPIKUS,Tênis Olympikus Index 3 43611218 Marinho,209,83,34,,,
T-SHOES,Tênis Extremecross Speed Trekking Trilha Ciclismo Corrida,174,49,150,06,4.5,(357)
OLYMPIKUS,Tênis Esportivo Olympikus Volcan 2 Preto Masculino,199,90,33,32,,
NEW BALANCE,Tenis New Balance 411v3 Masculino Academia Conforto Promoção,329,90,32,,,
,Tênis Academia Caminhada Corrida Confortável Leve Pra Malhar,79,90,62,32,4.5,(260)
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,99,284,99,4.8,(289)
PROSPECT,Kit 3 Tênis Masculino Prospect Speed Academia Leve + Relógio,219,90,138,53,4.4,(94)
,Tenis Sport Titanium  Original - Esportivo,78,90,59,17,4.5,(4007)
FILA,Tênis Fila Renno Classic Masculino Preto,289,90,275,40,,
,Tênis Masculino Sapatenis Moderno Confortável + Carteira,24,90,,,,
OLDSEN,Tênis Masculino Para Correr Caminhar Colorado Oferta Barato ,78,90,63,12,4.2,(957)
,Kit Tênis De Corrida Masculino Academia Leve + Relógio,93,02,9,04,4.4,(352)
OLYMPIKUS,Tênis Olympikus Masculino Cosmo Original,439,99,196,22,5.0,(2)
